Asset,Type,API_ID,ATH_Value,ATH_Date
BITCOIN,crypto,bitcoin,126198.10,10/05/2025
ETHEREUM,crypto,ethereum,4953.73,08/24/2025
SOLANA,crypto,solana,294.33,01/19/2025
RIPPLE,crypto,ripple,3.84,01/13/2018
CARDANO,crypto,cardano,3.10,09/02/2021
DOGECOIN,crypto,dogecoin,0.74,05/08/2021
SHIBA-INU,crypto,shiba-inu,0.00008845,10/28/2021
PEPE,crypto,pepe,0.00002824,12/09/2024
PAXG,crypto,paxg,2855.83,04/13/2024
NVDA,stock,NVDA,235.74,05/14/2026
AMD,stock,AMD,584.73,06/30/2026
INTC,stock,INTC,142.35,06/30/2026
MSTR,stock,MSTR,457.22,01/01/2025
ORCL,stock,ORCL,345.72,09/10/2025
AI,stock,AI,30.11,01/01/2025
GTLB,stock,GTLB,52.38,11/03/2025
TEM,stock,TEM,104.32,11/09/2025
CGNX,stock,CGNX,101.82,02/12/2021
SNOW,stock,SNOW,280.16,06/01/2026
DDOG,stock,DDOG,278.70,06/01/2026
IPGP,stock,IPGP,155.82,01/01/2026
MU,stock,MU,1213.56,06/25/2026
ASX,stock,ASX,45.32,06/30/2026
AMKR,stock,AMKR,96.29,06/22/2026
ANET,stock,ANET,186.96,07/10/2026
WDC,stock,WDC,799.87,06/18/2026
AVGO,stock,AVGO,495.00,06/03/2026
MRVL,stock,MRVL,329.88,06/18/2026
KEYS,stock,KEYS,373.34,06/22/2026
SNDK,stock,SNDK,2348.00,06/25/2026
CSCO,stock,CSCO,130.37,06/04/2026
QCOM,stock,QCOM,259.92,05/29/2026
ARM,stock,ARM,439.46,06/18/2026
